id;location_number;location_name;location;city;state;county;phone_number;pharmacy_hours;type
1;83c6f07c-8cab-43a8-9025-6c92c5830c48;International generating;Chief;Lake Jovanburgh;Gold harness;neural;88976;Savings parse;PHARMACY
2;1184d40e-9235-411e-9923-38abdd0d1cbe;Frozen Venezuela Plastic;transmitting;Lake Dedrick;e-services;Monaco Business-focused RAM;36589;Algeria Plastic Principal;DRUGSTORE
3;f5c7a885-a1cb-4a87-bdfa-8db90d0087dc;Licensed Forward;connect Toys Assurance;East Colemanland;blockchains;Refined Nicaragua synthesize;35797;Tuna intranet Maine;SHOP
4;d9479175-f874-40ff-ba55-5a75d8ff55a4;compressing;up PCI;Port Orionview;architect Keyboard;Liberia Franc;64683;orchid Bike;DRUGSTORE
5;6eb75ef3-3273-489d-b603-ceb13e824ead;Investment navigate Gorgeous;revolutionize;Rippinland;Borders Loan;intermediate;22234;Officer compressing Tajikistan;DRUGSTORE
6;b4705fdf-a8fc-4034-9962-c765a427266e;transform;Savings;Davonton;programming solutions;Avenue;38720;digital back Forge;CLINIC
7;456e78d8-d2eb-410e-8a54-42d4d00d76bc;workforce invoice;Passage Forward Caribbean;Kutchside;magenta programming;optical proactive Belarus;24225;Intelligent Rupee alarm;WAREHOUSE
8;5ad64290-0661-457b-ab61-ada313590010;Ohio COM;Baby Awesome;New Kaia;mobile override Multi-lateral;matrix bandwidth Credit;58431;ubiquitous Home;PHARMACY
9;2aceaa77-90c6-471f-9a54-1062271ced01;Steel implementation;firewall Pa'anga;Annehaven;Profound;Checking B2B;52503;Factors;PHARMACY
10;b83c50ac-623d-4af0-9c6d-6d14ff941bc9;Granite;program Down-sized Business-focused;Schmidtland;Jewelery;Forint Suriname;46123;Rustic quantify indexing;SHOP
